facility_id,facility_name,basin,city,state,zip_code,primary_naics_code,industry_type_subpart,total_emissions_2020,total_emissions_2019,total_emissions_2018,total_emissions_2017,total_emissions_2016,total_emissions_2015,total_emissions_2014,total_emissions_2013,total_emissions_2012,total_emissions_2011
1008348,Trendwell Energy Corporation,305 - Michigan Basin,Rockford,MI,49341,211130,W-ONSH,100216.626,97943.278,93280.45,112385.43,116466.782,165853.546,106501.818,113071.75,114239.896,121569.286
1009389,UGC 575 Uintah,575 - Uinta Basin,Rangely,CO,81648,211130,W-ONSH,135000.794,150785.5065,154222.8302,186921.3011,192596.6422,281043.594,233591.17,201700.77,129132.48,89152.294
1009125,UP Energy/Green River Basin,535 - Green River Basin,Englewood,CO,80112,211130,W-ONSH,121779.754,261036.97,361675.02,354522.394,323107.844,313307.346,247733.628,154139.734,125361.662,239403.502
1009165,Uinta Basin - Caerus Uintah,575 - Uinta Basin,Denver,CO,80202,211130,W-ONSH,160982.796,278644.51,220666.978,250071.9,250568.908,326321.544,447640.024,440989.802,417721.272,366724.47
1008242,Unit Petroleum 166 Golf Coast,"220 - Gulf Coast Basin (LA, TX)",Tulsa,OK,74136,211120,W-ONSH,56111.448,78630.124,40047.154,38693.648,48404.78,58774.906,49614.772,39907.866,52584.01,62852.678
1008241,Unit Petroleum 783 Anadarko Basin,360 - Anadarko Basin,Tulsa,OK,74136,211120,W-ONSH,255599.41,299301.374,294943.622,276563.402,258625.778,269636.3,201960.542,272779.688,404718.438,189368.234
1010181,Ursa Resources Group II - 595 - Piceance Basin,595 - Piceance Basin,Rifle,CO,81650,211130,W-ONSH,121939.48,127801.638,122176.42,156901.914,158637.564,147698.166,127826.95,116255.772,64399.496,130011.846
1008587,Valence Operating Co 260 East Texas Basin,260 - East Texas Basin,Kingwood,TX,77339,211130,W-ONSH,99431.566,113359.368,112400.704,138853.184,149648.694,133230.922,143481.474,152508.774,108066.79,111890.496
1008090,"Validus Energy Aquilas AssetCo, LLC","220 - Gulf Coast Basin (LA, TX)",Denver,CO,80202,211120,W-ONSH,115272.138,146734.566,122895.948,122492.25,66063.88,56086.002,61271.498,635.65,756.4,1967.3
1008439,Venado Operating Company LLC 220 Gulf Coast Basin,"220 - Gulf Coast Basin (LA, TX)",Austin,TX,78738,211120,W-ONSH,98074.464,131183.698,58288.74,45609.802,125172.434,171514.184,157686.964,143064.55,101346.804,100225.656
