facility_id,facility_name,city,state,zip_code,primary_naics_code,industry_type_subpart,industry_type_sector,total_emissions_2020,total_emissions_2019,total_emissions_2018,total_emissions_2017,total_emissions_2016,total_emissions_2015,total_emissions_2014,total_emissions_2013,total_emissions_2012,total_emissions_2011
1010221,MC 773 A (Devils Tower),Offshore,LA,0,211130,"C,W-OFFSH",Petroleum and Natural Gas Systems,93384.898,87092.902,114380.032,95970.28,103142.958,78531.434,101964.306,122817.352,146424.204,189196.33
1002679,MC 807 A,Offshore,LA,0,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,189542.25,204512.444,170439.352,198546.318,147093.964,138640.306,174898.934,142579.604,127802.87,174697.892
1002569,MC 809 A,Offshore,LA,0,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,221082.82,274836.35,227548.84,243664.676,257220.638,225895.654,233626.89,209969.86,199369.89,235420.97
1002283,MCCAIN FOODS POTATO FACILITY,EASTON,ME,4740,311411,"C,II","Other,Waste",18696.344,23503.266,24285.236,24903.252,21180.688,21331.122,20502.09,25922.464,30392.966,38838.414
1002287,MCCAIN FOODS USA INC,OTHELLO,WA,99344,311411,"C,II","Other,Waste",56865.372,63937.866,61900.66,63045.248,67668.462,77565.956,95227.714,89214.86,107911.392,99179.896
1002284,MCCAIN FOODS USA INC,PLOVER,WI,54467,311411,"C,II","Other,Waste",37769.024,42923.852,43208.958,41302.042,41566.638,43263.142,45049.944,41669.108,39257.288,39956.482
1002285,MCCAIN FOODS USA INC,BURLEY,ID,83318,311411,"C,II","Other,Waste",77039.082,84133.934,56747.524,50493.54,49379.544,46724.584,49362.52,50289.224,48664.268,49900.362
1006899,MCCARTY ROAD LANDFILL TX,HOUSTON,TX,77078,562212,HH,Waste,216373.5,281725.5,213813.05,236210.55,220011.15,240070.75,178784.5,236895.0,273245.0,276175.0
1002255,MCFS-CONWAY FRACTIONATOR,MCPHERSON,KS,67460,211130,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",131893.358,181003.222,177007.734,155942.268,148805.444,169486.018,174047.898,174930.288,182872.018,182657.068
1007580,MCGILL ROAD C & D LANDFILL,JACKSON,MI,49201,562212,"C,HH",Waste,16278.4,19523.1,23720.1,18657.35,13861.1,9840.6,9934.1,12612.836,16479.322435,16891.498
1004572,MCKAY BAY FACILITY,TAMPA,FL,33605,562213,C,Waste,110789.468,118567.818,112408.386,122966.684,126593.242,126686.0,110751.424,120606.7,116688.3,111980.2
1005530,MCKEAN CNTY LDFL,KANE,PA,16735,562212,"C,HH",Waste,4504.75,6555.5,5217.3,5860.2,6141.7,5379.95,7341.084,8227.588,11407.84,8615.9
1006291,MCKINNEY LANDFILL,MCKINNEY,TX,75069,562212,HH,Waste,54778.5,51623.5,68162.5,69436.0,71752.25,57171.25,63806.5,67295.75,67136.25,34000.0
1002541,MCKITTRICK LIMITED,BAKERSFIELD,CA,93308,221112,D,Power Plants,8524.368,9285.816,10795.704,10422.26,3607.036,30593.084,67683.096,71909.98,67514.596,166532.88
1003269,MEADOW BRANCH LANDFILL,ATHENS,TN,37303,562212,HH,Waste,94280.5,280480.0,233273.5,220564.0,183915.75,212251.5,197355.5,160816.75,128845.0,183801.0
1007667,MEADOWFILL LANDFILL,BRIDGEPORT,WV,26330,562212,"C,HH",Waste,73606.428,78430.078,71935.274,34113.124,50984.322,56572.972,66909.722,83947.174,97995.650197,91977.608
1000580,MEDICAL AREA TOTAL ENERGY PLANT,BOSTON,MA,2215,221330,C,Power Plants,252705.128,256603.706,262870.238,244439.074,226104.912,236893.37,239146.85,231140.712,221900.712,229338.944
1001921,MEDICAL CENTER COMPANY,CLEVELAND,OH,44106,221330,C,Power Plants,74837.468,76904.16,77951.056,78220.14,142069.084,137259.178,142434.0,142169.016,132334.608,142524.158
1003240,MEDORA SANITARY LANDFILL,MEDORA,IN,47260,562212,"C,HH",Waste,270192.35,282135.7,235607.3,222553.85,208587.05,197925.9,174484.05,161411.1,153909.3,138128.05
1006466,MEMPHIS CELLULOSE LLC,MEMPHIS,TN,38108,322121,C,Pulp and Paper,24252.108,34781.62,36947.112,28994.692,32421.528,34995.916,37717.506,32984.976,32819.576,38335.504
1007755,MENOMINEE LANDFILL,MENOMINEE,MI,49858,562212,"C,HH",Waste,60151.45,60800.15,61369.9,61746.15,62256.4,75177.9,76099.296,76518.84,75685.10858,92156.293875
1002931,"MEP Atlanta Station 2, TX",Atlanta,TX,75551,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,54990.45,58259.438,70397.888,48870.372,39211.96,47492.336,38987.812,39895.21,48572.64,48567.44
1002409,"MEP Station 3 Perryville, LA",Farmerville,LA,71241,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,52782.008,71696.69,82826.242,71436.196,59187.334,65362.058,64729.416,60783.43,72509.84,77616.42
